37Oklahoma                    0682              23.5000000 737300      4Paper (CMS UserID: 12)         Paper (CMS UserID: 12)         Paper (CMS UserID: 12)         Paper (CMS UserID: 12)         shpps                                                              shpps                                                              shpps                                                                 shpps                                                                  122212C2222221231212112C2222221231212112C2222221232332AAAAAAAAAAAAAAA                                                                                                     2112222AAA1111111CCCC2222221CCCC11CCCC1CCCC11CCCC2AAAA2222211122211222221222222223333322222222AAA6522222222111222A22CCC2222A222222222222222A22222222222222AAAAAAAAAAAAAAAAAAAAA23332233322333232111111111111111112AAAAAAAAAAAAAAAA12221212222222223112322233333112112121221222212222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA21112AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
37Oklahoma                    0710              18.4500000 748780      3Web                            Web                            Web                            Web                            Wellness Coordinator                                               Wellness Coordinator                                               Wellness Coordinator                                                  Wellness Coordinator                                                   221212121122112412121221211221114221212212122212142332AAAAAAAAAAAAAAA                                                                                                     11111111221111111111111111111111111111111111111112AAAA11111112111112121211112122133333111111111112112211122111122A222222222A211111111122122A2122122222222131332222232222311211222222222222222212111111111121111111111111112111111122221211131211111122322231333111121111211222212222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA21112AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
37Oklahoma                    0742              14.7551692 741310      2Web                            N/A                            Web                            N/A                            Counselor                                                          Plant Manager                                                      Assistant Superintendent                                              Plant Manager                                                          121112121112111112111121211121111221111212111212111221111212112112212                                                                                                     1111111111111111C1111111121111111C11111111111111111CCC11111111CC13CCCCCCC1CCCCCCC33333CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC11111111111111111111111211111111111221111111111112112CC111111132AAA22121C11C1111CCCCC12AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACCCCCCCCCCCCCC             CCCCCCCCCCCC                                                                                                     CCCCCCCCCCC                                                                                                     CCCCCCCCCCCC                                                                                                     
37Oklahoma                    0782              19.1203198 730770      1                                                                                             Web                                                                                                                                                                                                                                        Superintendent                                                         MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM                                                                                                     MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM2AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
37Oklahoma                    0851              14.7551692 743610      2Web                            Web                            Web                            Web                            Assistant Superintendent                                           Facilities Manager                                                 Assistant Superintendent                                              Assistant Superintendent                                               121212121112111412121121211121114121211212111211142331112212222112212                                                                                                     2111111111111111111111111111111112AAAA111111111111112211111111111112121111212222232223222222212236122212222111222A222222222A222211112222222A2222222222222131221111111111311111123322233222332221211111111111111111111111111111111122221111131111111122212121123111111111111211112222211111111111111111111111111111222211112222222212211211312132AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
37Oklahoma                    0889              18.4500000 748780      3Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         222222122212112422222221222121224AAAAAAAAAAAAAAAAA2332AAAAAAAAAAAAAAA                                                                                                     1111111111111111111111111111111112AAAAC111112AAAA2AAAA11121212112332111111112212221222211111113232312112122111222A21AAA1222A211111111221222A22222212211122AAAAAAAAAAAAAAAAAAAAA23332233322333232212111211111111111111212111111111111221222232223121212322A311A112A222211221222212222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22121111111111             411122222222                                                                                                     2AAAAAAAAAA                                                                                                     122122222222                                                                                                     
37Oklahoma                    0921              19.1203198 730770      1Web                            Web                            Web                            Web                            Assistant Principal                                                Assistant Principal                                                Assistant Principal                                                   Assistant Principal                                                    221212122122212422121221221222124121212212212221142331112121222112222                                                                                                     111111111211111111111111111111111111111111111111111122111111111111112222111111221222221111121112261222222122111211121112222A222211111111111111111112111111223323333323331133333222222222222222211111111111111111111111111111111111112111111311211111222222222221112111111111111111212111111111111111111111111111111111111111111111111111115111112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
37Oklahoma                    0980              23.5000000 743660      4Paper (CMS UserID: 18)         Paper (CMS UserID: 18)         Paper (CMS UserID: 18)         Paper (CMS UserID: 18)         SHPPS                                                              SHPPS                                                              SHPPS                                                                 SHPPS                                                                  122112122112111112211121221121111AAAAAAAAAAAAAAAAACCC12222122121C2222                                                                                                     11111111111111112AAAA1111111111112AAAA1111112AAAA2AAAA111111111113311111111111212323332111121111121C1112222111112A21AAA21222211111111111112A22221222222222AAAAAAAAAAAAAAAAAAAAA13332233322333232112111111111111111111111111111111122222211111123223122222A333A312A2CC211221211122222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA21131122222C33             111122222222                                                                                                     2AAAAAAAAAA                                                                                                     CCCCCCCCCCCC                                                                                                     
37Oklahoma                    1052              14.7551692 741310      2Paper (CMS UserID: 11)         Paper (CMS UserID: 11)         Paper (CMS UserID: 11)         Paper (CMS UserID: 11)         School Nurse                                                       School Nurse                                                       School Nurse                                                          School Nurse                                                           111112122112112611111221221121126AAAAAAAAAAAAAAAAA2332AAAAAAAAAAAAAAA                                                                                                     111111111111111111111111111111111111112AAAA22AAAA2AAAA22222111111111111111111122232222111111211331111211112111212A2211111121211111111111112A2222222222221131333233133331331211313332233322333211111111111111111111111112111111111111221111121121122122322A211A11112CC111211211112222211111111111111111111121111112211111112222222222212111211111112111111             512222122222                                                                                                     2AAAAAAAAAA                                                                                                     2AAAAAAAAAAA                                                                                                     
37Oklahoma                    1095              14.7551692 737720      2Web                            Web                            Web                            Web                            Principal                                                          Principal                                                          Programs Director                                                     Programs Director                                                      122222C22222222622111121222121123211111222221212132211111111111222222                                                                                                     111112112211111111111111111C222211111111111111211112C1C111111111111122222111112222222221111112AAA3111111112111112A222222222A211122212222212A22221222222122AAAAAAAAAAAAAAAAAAAAA2321212222222222C2111211222211211111112121221121112222211222222232132223222322C12AAA2C111111111122112222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA12131112111112             712222222221 Eduction                                                                                            12122222222                                                                                                     122222222221 Guidnce nd Counseling                                                                               
37Oklahoma                    1099              23.5000000 730520      4Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         SHPPS                                                              SHPPS                                                              SHPPS                                                                 SHPPS                                                                  111112122122112611111221221121126111112212211211262332AAAAAAAAAAAAAAA                                                                                                     111122111111111111111111111111121111121111212AAAA2AAAA11111111112312122221222222233333111111111222122222222211122A222222222A111111111122222A21221222222222AAAAAAAAAAAAAAAAAAAAA22222233322333232111121212222111112AAAAAAAAAAAAAAAA11222211132223123222322221223112111121222222212222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22111112121211            102AAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
37Oklahoma                    1102              14.7551692 737720      2                                                                                             Web                                                                                                                                                                                                                                        Superintendent                                                         MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM                                                                                                     MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM2AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
38Oregon                      0229              14.7551692 974260      2Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         111112121112111111111121211121111111111212111211111331112211111112121 City                                                                                                11111111111111111111111111111111111111111111111112AAAA1111111111111111111111111122222211111111111241111111112A112A1211121111111111111111112A222222222222211131233313333133131132212122222222222112AAAAAAAAAAAAAAA2AAAAAAAAAAAAAAAAAAA2AAAAAAAAAAAA321112221111112A222111111211111211112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA212212AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
38Oregon                      0231              14.7551692 974020      2Paper (CMS UserID: 13)         Paper (CMS UserID: 13)         Paper (CMS UserID: 13)         Paper (CMS UserID: 13)         Principal                                                          Principal                                                          Principal                                                             Principal                                                              122212122122112612221221221221226122212212212211262221112122212122221 Rurl Arti Centrl                                                                                    21111211111111111111111111111111111111111111111112AAAA111111121121112222112222222322221111111112212CC1121CC12A222A11AAA2222A2111CCCCCCCCCC2A22222222222222AAAAAAAAAAAAAAAAAAAAAC22211322122222221111111222111111111111111221111111112212112222222222222222133312AAA22212222221122222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA21122AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
38Oregon                      0371              23.5000000 978300      4Web                            N/A                            Web                            Web                            Superintendent/Principal                                           Building Maintenance                                               Superintendent/Principal                                              Superintendent/Principal                                               111112122222112312222121222221123222221212222211231331222122222222C22                                                                                                     11111111121111111111111111111111111111111111111112AAAA11111111111111211111111112233233CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC111121211111111111111111112111111112221111131123111111122231113112222222222211122212122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA21111111111133             411122222222                                                                                                     12212222222                                                                                                     122222222221 Adinistrtion                                                                                        
38Oregon                      0536              14.7551692 976300      2                                                                                             Web                                                                                                                                                                                                                                        Curriculum Director                                                    MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM                                                                                                     MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM2AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
38Oregon                      0548              14.7551692 976300      2                                                                                             Web                                                                                                                                                                                                                                        Administrative Assistant to the Superintendent                         MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM                                                                                                     MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM12AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
38Oregon                      0672              23.5000000 978300      4Web                            Web                            Paper (CMS UserID: 10)         Web                            Assistant Superintendent                                           Principal                                                          ESD Liaison                                                           Assistant Superintendent                                               222222222122212312222121221122123222221212211211232221112221221222222                                                                                                     1111112AAA11111111111111111111111111111111111111111111111111111111122222112121222333331111111133342122111111CC1111C22221322A222211111111122A112121121211C1CCCCCCCCCCCCCCCCCCCCC111C1111111111131211111111111111112AAAAAAAAAAAAAAAA12221211121111211122322231113111211111221222222222221111211122111221222222211331322211111122211221111111312221111111111             112212222221 Multidiscilinry studies                                                                             11122222222                                                                                                     122222222221 Eduction Ledershi                                                                                   
38Oregon                      0734              14.7551692 974630      2                                                                                             Paper (CMS UserID: 16)                                                                                                                                                                                                                     SHPPS                                                                  MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM                                                                                                     MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM2AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
38Oregon                      0964              14.7551692 974630      2Web                            Web                            Web                            Web                            Personnel Specialist                                               Supervisor                                                         Administrative Assistant                                              Supervisor                                                             111112121122111C11111C2121122111C21111C2121122111CC31C212112211122222                                                                                                     11111111111111111111111111111111111111111111111112AAAA11111111111111111111111111232333211111111113112211111112111221AAA11211111211111211122A21221222212122AAAAAAAAAAAAAAAAAAAAA111121112211122212111C2121111111112AAAAAAAAAAAAAAAA122212111311231111212111233332AAA211112211111111111111111111111111111111111111111111111111111111122111114121112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
38Oregon                      0983              23.5000000 978300      4Web                                                                                                                         Superintendent                                                                                                                                                                                                                                                                     122212122222112222221121222221222222211212222212222331211121112222211 Counity School                                                                                      11111111111111111111111111111111111111111111111112AAAA11111112112111221211221112232233MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM222223113312A22211122122222221222111212221122212212212211133313331122222222222222122232222MMMMMMMMMM             MMMMMMMMMMMM                                                                                                     MMMMMMMMMMM                                                                                                     MMMMMMMMMMMM                                                                                                     
38Oregon                      0987              14.7551692 974260      2Web                            Web                            Web                            Web                            Special Programs Coordinator                                       Special Programs Coordinator                                       Health and Safety Coordinator                                         Health and Safety Coordinator                                          121212121112212312121221211122124221212212111222241112AAAAAAAAAAAAAAA                                                                                                     1112212AAA1111111111111112111111111111111121111122AAAA1111211111211212221111221223333311211111133411222211122A112A221112111121111111112211111122111111111133321322112311322311211122111221111231111111111111111111111111111111111111221211121212211122222221111112211111212211112221211111122212111111122222111113112211212112211111122112311121111111111             312222222221 Business Adinistrtion                                                                               12222222221 Econoics                                                                                            122222222221 Public Adinistrtion                                                                                 
39Pennsylvania                0057              19.1203198 188400      1Web                            Web                            Web                            Web                            Director of Building and Grounds                                   Director of Building and Grounds                                   Director of Building and Grounds                                      Director of Building and Grounds                                       121112221112112312112222211121123221112222111211232121112112222122222                                                                                                     11111211111C11111111111111111111111111111111111112AAAA222222222221112C2222222222233333221221213322311211111211222A21AAA21122222211122221112A22222122222222AAAAAAAAAAAAAAAAAAAAA222222222222222221111C1211121111211111112222C1111212222121112222222C1223222333132AAA122C1222211122111122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22122AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
39Pennsylvania                0061              18.4500000 169150      3Web                            Web                            Web                            Web                            School Safety and Prevention Coordinator                           School Safety and Prevention Coordinator                           School Safety and Prevention Coordinator                              School Safety and Prevention Coordinator                               1CCCC2121112112412121221211121115121212212111211152332AAAAAAAAAAAAAAA                                                                                                     11111111111111111111111111111111111111111111111112AAAA11111111111111CCCCCCCCCCCCCCCCCCCCCCCCC1CCC2CCC1C1CCCC1CCCCCC2CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC2AAAAAAAAAAAAAAAAAAAAACCCCCCCCCCCCCCCCC211121121211111111111111111111111112221211131221111112CCCCCCCCCCCCC221111C22222122222111111222121211121111111221131111112212222222121111112CCCC2AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
39Pennsylvania                0075              19.1203198 150090      1                               Web                                                                                                                                                             Superintendent                                                                                                                                                                                                  MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM                                                                                                     MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM22222221222221111111121112112222221121112111111121122A11211222211112AAAAAAAAAAAAAAAAAAAAA11111211211211112MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM             MMMMMMMMMMMM                                                                                                     MMMMMMMMMMM                                                                                                     MMMMMMMMMMMM                                                                                                     
39Pennsylvania                0084              18.4500000 169150      3Web                            Web                            Web                            Web                            Director of Physical Plant                                         Director of Physical Plant                                         Director of Physical Plant                                            Director of Physical Plant                                             122222121122111412122221211121114121222212111211142222AAAAAAAAAAAAAAA                                                                                                     2111121CCC111111111112222221111111111111111111111121221111111111111122222121222113333311111111222222222221121122112222221122222211111112112A22222222222222AAAAAAAAAAAAAAAAAAAAA1212212122222223211111211221111111111111112111111111222121113222121211112223311312A222111112211112222211111111111111112212222211112112211222222222212211211521222AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
39Pennsylvania                0107              19.1203198 178150      1                                                                                             Web                                                                                                                                                                                                                                        Superintendent                                                         MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM                                                                                                     MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM12AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
39Pennsylvania                0121              23.5000000 158250      4Web                                                                                          N/A                            Superintendent                                                                                                                                                                                              Administrative Assistant/Safety Coordinator                            121112221112112312122121211121114121221212111211142122AAAAAAAAAAAAAAA                                                                                                     21111211121111111111111111111111111111111111111111221211112111221112222211212222123333MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM12222111122AAA2211221222211222121121211111212222221212211111312121122222222221121111252222CCCCCCCCCC             CCCCCCCCCCCC                                                                                                     CCCCCCCCCCC                                                                                                     CCCCCCCCCCCC                                                                                                     
39Pennsylvania                0168              19.1203198 178150      1Web                                                                                          Web                            Supervisor of Buildings and Grounds                                                                                                                                                                         Superintendent Administrative Assistant                                121212221112112612221121211121126122221212111211262332AAAAAAAAAAAAAAA                                                                                                     21111111121111111111111112111111111111111111111112AAAA22222222221112121211222222233333MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM232222111111212211111222111221121111111111111111111111121111112111111222C222212111111522122AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
39Pennsylvania                1156              14.7551692 152210      2Paper (CMS UserID: 13)         Paper (CMS UserID: 13)         Paper (CMS UserID: 13)         Paper (CMS UserID: 13)         SHPPS                                                              SHPPS                                                              SHPPS                                                                 SHPPS                                                                  111222121111111411121221211111115111212212111111151221CC1CCCCC2222212                                                                                                     11111211121111111111111112211111111111111111111112AAAA2111111111111122222222222223333311111111311221211111111111C11211121111211211111111122A22222222222222AAAAAAAAAAAAAAAAAAAAA1111111111222223111112111111211121C111112111121111111211111121122111112222211113111122111221222122222221111122211121121111122222122222211211122222212121222221122AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
39Pennsylvania                0196              14.7551692 168330      2Web                            Web                            Web                            Web                            Superintendent                                                     Director of Buildings and Grounds                                  Superintendent                                                        Superintendent                                                         121112121122111311111221211221113111112212112211132222AAAAAAAAAAAAAAA                                                                                                     2111111111111111C111111111111111111111111111111112AAAA11111111222112222211122222232333222222213333212221111211222A2222221121222211111222212A22222222222222AAAAAAAAAAAAAAAAAAAAA222222222222222222C1122212222211212AAAAAAAAAAAAAAAA222212C11221122221212222233132AAA22111111222212222211111111111111111111111111113122211222222C22222211121311122AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
39Pennsylvania                0224              18.4500000 169150      3N/A                            N/A                            Web                            Web                            Maintenance Supervisor                                             Maintenance Supervisor                                             Superintendent                                                        Superintendent                                                         CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC                                                                                                     CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC111112211211111112AAAAAAAAAAAAAAAA2222121113111322111CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1111121111             212212222222                                                                                                     2AAAAAAAAAA                                                                                                     122122222222                                                                                                     
39Pennsylvania                0246              14.7551692 150760      2Web                            Web                            Web                            Paper (CMS UserID: 10)         Director of Buildings and Grounds and Transportation               Director of Buildings and Grounds and Transportation               Assistant Principal                                                   School Nurse                                                           2222221C2222212622222221222222126222222212222221262331222212122122222                                                                                                     C111112AAA1111111C11122221211111111111111121111111212222222222222222222C12C2C212C33333222222212122212212211111222A2222221122222211112222122A2222CC22222222AAAAAAAAAAAAAAAAAAAAA1211121111222221211121122121111121111212111111111211222121113222221312222223233211221111122122C21222111122112121111111111C121122112112211222212C2222222C1115123312AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
39Pennsylvania                0470              14.7551692 150760      2Web                            Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Director of Pupil Personnell                                       Supervisor of Special Services                                     Supervisor of Special Services                                        Supervisor of Special Services                                         222222121121122622222121211111226222221212112112161331122212222122221 Locl bsebll legues                                                                                  21111111111111111111111111111111111111111111111111212211111111221222222211222222133333222222212222212111111111222A2222221122222211111222112A22222222222222AAAAAAAAAAAAAAAAAAAAA122222222222222211111111111111111111CCCCCCCCCCCCCCC12221111122111122112222231113112121121212222212211211221122221222121212111111111122211222122222111121121412132AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
